Frame, Timestamp, TPHotspot, HMD_x, HMD_z, Duration, WasTP, ZOI, Distance, RightHand_State, LeftHand_State
596, 16.0396, TP_Juguetes2_Adjacent, 5.1941, 7.7118, 0.4216, True, Adjacent, 1.9709, Select, Disabled
1390, 38.1429, TP_Moda_Adjacent, 5.1295, 7.8160, 0.0260, False, Adjacent, 0.0000, Hover, Disabled
1411, 38.7253, TP_Juguetes_Adjacent, 5.1260, 7.8281, 0.1376, False, Adjacent, 0.0000, Hover, Disabled
1449, 39.7833, TP_Moda_Adjacent, 5.1136, 7.8516, 0.0866, False, Adjacent, 0.0000, Hover, Disabled
1453, 39.8961, TP_Juguetes_Adjacent, 5.1300, 7.8584, 0.0326, False, Adjacent, 0.0000, Hover, Disabled
1494, 41.0329, TP_Juguetes_Adjacent, 5.1449, 7.8557, 0.0812, False, Adjacent, 0.0000, Hover, Disabled
1515, 41.6182, TP_Juguetes_Adjacent, 5.1465, 7.8455, 0.3609, False, Adjacent, 0.0000, Hover, Disabled
1534, 42.1443, TP_Juguetes_Adjacent, 5.1493, 7.8407, 0.3329, False, Adjacent, 0.0000, Hover, Disabled
1553, 42.6715, TP_Juguetes_Adjacent, 5.1483, 7.8410, 0.3078, False, Adjacent, 0.0000, Hover, Disabled
1563, 42.9514, TP_Moda_Adjacent, 5.1470, 7.8435, 0.0265, True, Adjacent, 0.0000, Hover, Disabled
1581, 43.4517, TP_Moda_Adjacent, 5.1487, 7.8421, 0.3326, False, Adjacent, 0.0000, Hover, Disabled
1583, 43.5041, TP_Juguetes_Adjacent, 5.1468, 7.8425, 0.2777, False, Adjacent, 0.0000, Hover, Disabled
1672, 45.9769, TP_Juguetes_Adjacent, 5.1451, 7.8588, 0.2204, False, Adjacent, 0.0000, Hover, Disabled
1717, 47.2270, TP_Juguetes_Adjacent, 5.1941, 6.8283, 0.8020, True, Adjacent, 2.8130, Select, Disabled
1868, 51.4494, TP_Moda2_Adjacent, 5.1129, 6.9335, 0.0295, False, Adjacent, 0.0000, Hover, Disabled
1888, 52.0024, TP_Moda_Adjacent, 5.0734, 6.8957, 0.1110, False, Adjacent, 0.0000, Hover, Disabled
1907, 52.5319, TP_Moda_Adjacent, 5.1920, 4.3412, 0.1392, True, Adjacent, 5.2568, Select, Disabled
3164, 88.4208, TP_Moda2_Adjacent, 6.0300, 2.1562, 0.6134, True, Adjacent, 7.5539, Select, Disabled
3921, 109.4726, TP_Mid_6, 5.8754, 2.3457, 0.1097, False, Far, 0.0000, Hover, Disabled
3944, 110.1151, TP_Comida_Adjacent, 2.0596, 0.6357, 0.5850, True, Adjacent, 9.2378, Select, Disabled
3960, 110.5573, TP_Comida2_Adjacent, 2.1467, 0.7157, 0.0285, False, Adjacent, 0.0000, Disabled, Disabled
4195, 117.0885, TP_Mid_7, 2.3288, 0.8072, 0.3606, False, Far, 0.0000, Hover, Disabled
4219, 117.7926, TP_Tecnologia_Adjacent, -1.6703, 0.6370, 0.5626, True, Adjacent, 10.8308, Select, Disabled
4661, 130.1791, TP_Mid_7, -1.7576, 0.8512, 0.0831, False, Far, 0.0000, Hover, Disabled
4673, 130.5132, TP_Decoracion3_Adjacent, -1.6730, 0.8024, 0.1957, False, Adjacent, 0.0000, Hover, Disabled
4701, 131.2926, TP_Decoracion3_Adjacent, -1.5995, 0.7658, 0.3853, False, Adjacent, 0.0000, Hover, Disabled
6188, 172.8170, TP_Decoracion_Adjacent, -5.0811, 1.5053, 0.0552, False, Adjacent, 0.0000, Hover, Disabled
6207, 173.3428, TP_Decoracion_Adjacent, -5.1380, 1.4755, 0.4365, False, Adjacent, 0.0000, Hover, Disabled
6237, 174.1780, TP_Decoracion_Adjacent, -5.0095, 1.6270, 0.4664, False, Adjacent, 0.0000, Hover, Disabled
6263, 174.9014, TP_Decoracion_Adjacent, -5.1395, 1.5134, 0.5553, False, Adjacent, 0.0000, Hover, Disabled
6281, 175.4040, TP_Decoracion_Adjacent, -5.1902, 1.4717, 0.3905, False, Adjacent, 0.0000, Hover, Disabled
6299, 175.9057, TP_Decoracion_Adjacent, -5.3757, 4.9679, 0.4752, False, Adjacent, 0.0000, Hover, Disabled
6315, 176.3540, TP_Decoracion3_Adjacent, -5.3953, 4.9881, 0.5616, True, Adjacent, 0.0000, Hover, Disabled
