Frame, Timestamp, Object, DurationUntilRelease, RightHand_State, LeftHand_State
837, 22.7551, octopus_teddy, 4.5284, Hover, Normal
993, 27.1149, HandGrabInteractable_mirror, 0.9441, Normal, Hover
1119, 30.6151, HandGrabInteractable_mirror, 1.2252, Normal, Hover
1190, 32.5875, baby_yoda, 1.1948, Hover, Normal
1320, 36.1939, HandGrabInteractable_mirror, 0.9356, Normal, Hover
1807, 49.7637, balon, 1.4126, Normal, Normal
2027, 55.8629, Bolso, 1.3768, Hover, Normal
2686, 74.2861, Bolso_cuero, 0.7613, Hover, Normal
2851, 79.6069, HandGrabInteractable_mirror, 3.9685, Normal, Hover
3080, 86.0899, Bolso, 1.4460, Normal, Normal
3292, 91.9735, Mochila, 1.5276, Hover, Disabled
3878, 108.2789, HandGrabInteractable_mirror, 3.7805, Normal, Normal
4072, 113.6665, Platano, 1.2177, Normal, Disabled
4394, 122.7056, cascos, 3.7856, Disabled, Disabled
4596, 128.3461, Microfono, 0.9141, Normal, Disabled
4979, 139.0747, Bolso, 1.4162, Hover, Normal
5549, 155.0135, Muneco_Pixar, 13.1697, Hover, Normal
5705, 159.3753, Dragon, 0.7767, Normal, Hover
5952, 166.2400, HandGrabInteractable, 1.0858, Hover, Disabled
6392, 178.4802, trofeo, 1.6926, Normal, Normal
6406, 178.8687, trofeo, 0.2652, Hover, Normal
6463, 180.4771, trofeo, 0.7518, Hover, Normal
6544, 182.7263, quemador, 1.2438, Normal, Disabled
6749, 188.6475, balon, 1.4157, Hover, Normal
7046, 196.9547, trofeo, 1.6656, Normal, Normal
7056, 197.2363, quemador, 0.1139, Hover, Normal
